Event_ID;Season;Hit;Deaths;Rec.station;Geo_space;Snow_total;Snow_days
1;2015;2;2;1;1;755;209
2;2014;1;1;1;1;784;200
3;2018;1;1;1;1;742;208
4;2018;1;0;2;1;380;166
5;2014;3;1;3;1;908;210
6;2018;1;0;3;1;681;208
7;2018;1;0;3;1;681;208
8;2018;1;0;3;1;681;208
9;2015;3;0;4;2;659;207
10;2018;3;0;4;2;653;208
11;2015;1;0;4;2;659;207
12;2015;1;0;4;2;659;207
13;2014;2;1;4;2;705;205
14;2014;2;1;5;2;504;201
15;2016;1;1;5;2;530;176
16;2017;4;1;5;2;650;206
17;2016;3;2;5;2;530;176
18;2014;4;1;6;2;399;152
19;2018;1;1;7;2;640;169
20;2014;2;1;8;2;313;169
21;2017;3;3;8;2;247;157
22;2018;3;0;8;2;605;183
23;2014;1;1;8;2;313;169
25;2014;2;1;8;2;313;169
26;2015;1;1;8;2;328;128
27;2019;1;0;8;2;302;134
28;2019;1;1;8;2;302;134
29;2015;5;2;8;2;328;128
30;2017;1;1;8;2;247;157
31;2017;3;0;9;3;130;86
32;2018;1;1;9;3;415;153
33;2014;2;0;9;3;358;147
34;2019;1;0;9;3;164;81
35;2016;8;1;9;3;170;71
36;2015;1;1;9;3;320;100
37;2015;3;1;10;3;291;82
38;2018;1;0;10;3;439;146
39;2017;1;1;10;3;156;42
40;2014;5;2;11;3;825;178
41;2017;3;1;11;3;455;157
42;2018;4;0;11;3;829;204
43;2018;1;1;11;3;829;204
44;2014;2;0;11;3;825;178
